att	2791229
ill	1996763
int	1983869
ing	1367396
ska	1084307
all	932436
men	876795
and	858713
lla	835497
ste	835456
sta	729145
tta	697706
era	672421
ans	663039
ätt	552178
ler	541278
inn	533680
nna	533371
vad	532497
ner	515197
mma	485628
nga	471310
ull	470616
ick	437512
upp	428806
kul	424886
när	424799
sku	412038
lan	404621
kar	397059
dra	376375
yck	370188
ång	348780
cka	345534
äll	344509
öra	339058
isk	336379
rat	330834
rin	321148
änn	318663
tor	311894
rst	291864
lit	291666
nda	288927
bor	286684
dan	280031
iga	276267
ist	272453
ndr	271809
sig	271536
gra	271414
ack	263516
iss	263280
ppa	263186
ela	259772
ske	256046
res	255973
stä	254063
mar	249992
eta	247343
nta	243157
est	241972
kla	240074
ast	237001
uta	225949
str	222770
tig	214278
ock	208412
nat	206474
par	206450
ata	206249
ssa	205352
opp	204373
app	202525
lev	200849
kli	200549
liv	196522
vin	196504
stå	196067
ala	183714
aka	179044
lin	177786
sti	177533
tra	177235
pla	175628
sko	175070
ung	172024
trä	169989
kri	168673
pro	167175
slu	166852
ess	162101
skr	154232
ram	154046
rta	153253
änt	151883
ris	151494
rka	150715
län	150546
ras	149551
kal	143646
sna	142314
pre	140173
ika	139650
ark	137622
ass	136905
hop	136785
sva	135751
ats	132210
gre	131848
ffa	131688
ida	130367
van	130103
kil	129857
dda	127646
kna	124155
rän	124112
räd	123097
her	116454
nor	115677
nog	111477
stö	110116
ars	107971
sky	106784
fly	105357
ära	105170
pol	102605
bba	101928
ane	101909
ank	100356
kra	99711
pri	99657
riv	99282
läm	98180
che	97632
ntr	96188
åga	96136
ind	95267
lic	92175
ttr	91075
rot	91042
ors	89659
nsa	89427
kej	88301
rum	88211
kni	87135
gla	86912
nka	86559
ita	84693
spr	83903
aff	83505
bla	83388
tri	83242
ban	82210
gga	81221
ärt	79247
rut	78548
abb	78167
rra	77831
umm	77686
kär	77408
hal	76591
ene	74647
lös	74499
ckl	73044
iva	71825
pet	70934
ada	70840
vla	70268
slä	70040
kas	69590
tas	69057
eva	68727
rak	68415
vik	66693
sli	65882
kel	65777
rid	65579
ask	64834
tru	64770
dla	64626
fat	63389
stu	63205
mpa	62757
raf	62504
jut	60078
sch	59879
alt	59867
nal	59489
fil	58699
slå	57447
rör	56813
skä	56086
tsa	55958
lät	55842
loc	54857
try	54725
tvi	53918
uts	52919
skj	52851
klä	52520
ubb	52516
bad	51271
spa	51144
pad	50873
fta	50850
rag	50498
rav	49826
ink	49375
ole	49036
pis	48797
kju	47973
unk	47369
snä	47247
gri	46420
apa	45753
ama	45449
amp	44449
his	43905
grä	43850
tik	43634
rva	43191
ome	42357
rom	42118
ppl	41905
rep	41377
ryc	40822
rap	40660
kop	40008
ämm	39442
ila	39348
ipp	39099
smä	39004
utt	38221
ura	38056
gli	38006
rus	37960
ota	37012
eka	36928
trö	36705
ork	36369
lun	35895
rab	35781
lta	35679
das	35635
epp	35001
ira	34132
ynd	33766
lka	33348
nac	32903
ugg	32650
lip	32598
haf	32548
nap	31955
fån	31785
teg	31439
räv	31021
usa	30508
vac	30417
ign	29181
öva	29107
äta	29039
niv	28994
ösa	28771
gne	28649
ega	27256
ava	26749
ule	26660
ngl	26481
rip	26356
lia	26345
ult	26008
gni	25897
kur	25320
fla	25177
add	24936
arv	24851
tvä	24176
opa	24055
tap	23828
snu	23383
plo	23278
lac	23248
sle	23226
avl	22280
bin	22055
öpa	21854
pin	21798
åla	21726
röv	21429
kry	21154
alk	20976
tud	20911
öja	20578
öta	20540
yga	20454
uds	20283
agl	20148
lap	20130
knä	19889
sve	19672
pil	19620
lid	18724
äda	18252
vir	18101
epa	17746
kak	17611
vät	17404
nyc	17279
mäl	17208
rul	16081
irr	15604
oga	15506
sme	15483
tam	14898
ipa	14601
yft	14359
kut	13505
kum	13408
vas	13269
sno	13153
töt	13047
täd	12943
bul	12499
ges	12197
tåg	12024
äva	11997
ejt	11752
dsa	11733
rub	11149
höj	10890
hug	10712
ryp	10508
kyn	10266
kru	10167
töv	9790
bbl	9522
hac	9238
lyf	9188
åva	8921
ogg	8672
kno	8664
orp	8664
aja	8320
cyk	8307
dun	7805
flä	7647
nub	7625
smy	7345
nip	6916
mek	6613
jta	5794
asp	5758
rpa	5705
nav	5041
myg	4893
put	4525
övl	4198
ffl	4126
rsc	4123
kny	4083
löp	3937
ypa	3590
fsa	3545
ykl	3498
afs	3076
gnu	2716
nid	2531
iku	2117
klö	2067
vaj	1973
klå	1949
vep	1944
ivh	1695
ddl	1439
vhu	1417
nyp	1397
yff	1281
hiv	1263
jog	902
kyf	860
nug	832
fös	707
gup	696
vab	316
håv	272
näa	73
